Ticker,Option Type,Expiration,Strike,% OTM/ITM,Current Stock,Simulated Stock,Current Premium,Simulated Premium,Days Until Expiration,Days to Gain,Stock Gain %,Premium % Gain,Implied Volatility,Delta,Theta,Bid,Ask,Last Premium,Bid Date,Ask Date,Volume,Allocated ($),Simulated Equity ($),Run_Label
nvda,call,2025-09-19,175,20.91,144.74,159.22,3.3,5.82,98,30,10.0,76.25,40.38,0.2123,-0.047,3.3,3.35,3.3,2025-06-11 19:59:59,2025-06-11 19:59:59,283,100,176.25,Short-Term Conservative
nvda,call,2025-09-19,170,17.45,144.74,159.22,4.17,7.37,98,30,10.0,76.76,40.43,0.2546,-0.0524,4.15,4.25,4.17,2025-06-11 19:59:59,2025-06-11 19:59:59,1619,100,176.76,Short-Term Conservative
nvda,call,2025-10-17,175,20.91,144.74,159.22,4.56,7.92,126,30,10.0,73.63,40.19,0.2515,-0.0461,4.55,4.65,4.56,2025-06-11 19:59:59,2025-06-11 19:59:59,69,100,173.63,Short-Term Conservative
nvda,call,2025-10-17,170,17.45,144.74,159.22,5.6,9.64,126,30,10.0,72.07,40.4,0.2933,-0.0503,5.55,5.65,5.6,2025-06-11 19:59:59,2025-06-11 19:59:59,438,100,172.07,Short-Term Conservative
biib,call,2025-09-19,160,20.78,132.47,145.72,3.75,4.66,98,30,10.0,24.22,37.28,0.2162,-0.0412,2.75,3.1,3.75,2025-06-11 19:59:44,2025-06-11 19:59:44,0,100,124.22,Short-Term Conservative
biib,call,2025-09-19,155,17.0,132.47,145.72,4.5,6.03,98,30,10.0,34.06,36.68,0.2625,-0.0454,3.5,3.9,4.5,2025-06-11 19:59:51,2025-06-11 19:59:51,0,100,134.06,Short-Term Conservative
biib,call,2025-10-17,160,20.78,132.47,145.72,5.31,5.88,126,30,10.0,10.72,35.18,0.2401,-0.0371,2.9,4.2,5.31,2025-06-11 19:59:59,2025-06-11 19:59:59,0,100,110.72,Short-Term Conservative
biib,call,2025-10-17,155,17.0,132.47,145.72,5.15,7.83,126,30,10.0,52.08,36.33,0.2982,-0.043,4.6,5.1,5.15,2025-06-11 19:59:50,2025-06-11 19:59:50,0,100,152.08,Short-Term Conservative
isrg,call,2025-09-19,620,20.79,513.3,564.63,7.3,11.47,98,30,10.0,57.17,29.57,0.1709,-0.1127,6.6,7.2,7.3,2025-06-11 19:59:58,2025-06-11 19:59:58,2,100,157.17,Short-Term Conservative
isrg,call,2025-09-19,600,16.89,513.3,564.63,10.2,17.12,98,30,10.0,67.84,29.76,0.2317,-0.1375,9.9,10.4,10.2,2025-06-11 19:59:56,2025-06-11 19:59:56,28,100,167.84,Short-Term Conservative
isrg,call,2025-10-17,615,19.81,513.3,564.63,12.2,18.65,126,30,10.0,52.86,30.01,0.2291,-0.123,11.1,11.6,12.2,2025-06-11 19:59:59,2025-06-11 19:59:59,1,100,152.86,Short-Term Conservative
isrg,call,2025-10-17,620,20.79,513.3,564.63,11.7,16.96,126,30,10.0,44.94,29.73,0.2129,-0.1167,9.8,10.7,11.7,2025-06-11 19:59:59,2025-06-11 19:59:59,0,100,144.94,Short-Term Conservative
bx,call,2025-09-19,170,20.79,140.74,154.81,1.76,3.56,98,30,10.0,102.18,31.4,0.1555,-0.0286,1.38,1.96,1.76,2025-06-11 19:59:53,2025-06-11 19:59:53,51,100,202.18,Short-Term Conservative
bx,call,2025-09-19,165,17.24,140.74,154.81,2.2,4.76,98,30,10.0,116.41,30.64,0.1959,-0.0324,2.11,2.48,2.2,2025-06-11 19:59:55,2025-06-11 19:59:55,0,100,216.41,Short-Term Conservative
bx,call,2025-10-17,170,20.79,140.74,154.81,2.82,5.0,126,30,10.0,77.18,30.94,0.188,-0.0282,2.34,2.59,2.82,2025-06-11 19:59:58,2025-06-11 19:59:58,5,100,177.18,Short-Term Conservative
bx,call,2025-10-17,165,17.24,140.74,154.81,3.2,6.72,126,30,10.0,109.94,31.54,0.2401,-0.0332,3.3,3.55,3.2,2025-06-11 19:59:56,2025-06-11 19:59:56,15,100,209.94,Short-Term Conservative
nvda,put,2025-09-19,116,19.86,144.74,130.27,3.15,4.0,98,30,-10.0,27.12,46.7,-0.1546,-0.0388,3.05,3.15,3.15,2025-06-11 19:59:59,2025-06-11 19:59:59,92,40,50.85,Long-Term Aggressive (Put)
nvda,put,2025-09-19,115,20.55,144.74,130.27,2.96,3.73,98,30,-10.0,26.18,46.83,-0.1468,-0.0376,2.91,2.96,2.96,2025-06-11 19:59:59,2025-06-11 19:59:59,433,40,50.47,Long-Term Aggressive (Put)
nvda,put,2025-10-17,115,20.55,144.74,130.27,3.8,4.93,126,30,-10.0,29.83,45.94,-0.1631,-0.0344,3.75,3.8,3.8,2025-06-11 20:00:00,2025-06-11 20:00:00,297,40,51.93,Long-Term Aggressive (Put)
nvda,put,2025-10-17,120,17.09,144.74,130.27,4.85,6.43,126,30,-10.0,32.62,44.88,-0.2012,-0.0381,4.8,4.9,4.85,2025-06-11 19:59:59,2025-06-11 19:59:59,286,40,53.05,Long-Term Aggressive (Put)
biib,put,2025-09-19,105,20.74,132.47,119.23,1.25,2.38,98,30,-10.0,90.59,40.25,-0.1,-0.023,0.7,2.2,1.25,2025-06-11 19:59:59,2025-06-11 19:59:59,0,40,76.24,Long-Term Aggressive (Put)
biib,put,2025-09-19,110,16.97,132.47,119.23,2.8,3.54,98,30,-10.0,26.59,38.72,-0.1372,-0.0274,1.2,2.9,2.8,2025-06-11 19:58:18,2025-06-11 19:58:18,0,40,50.64,Long-Term Aggressive (Put)
biib,put,2025-10-17,105,20.74,132.47,119.23,4.17,4.32,126,30,-10.0,3.61,45.33,-0.1429,-0.0291,1.7,4.2,4.17,2025-06-11 20:00:00,2025-06-11 20:00:00,0,40,41.44,Long-Term Aggressive (Put)
biib,put,2025-10-17,110,16.97,132.47,119.23,4.11,4.95,126,30,-10.0,20.53,40.15,-0.1646,-0.0279,1.35,4.8,4.11,2025-06-11 19:59:59,2025-06-11 19:59:59,0,40,48.21,Long-Term Aggressive (Put)
isrg,put,2025-09-19,410,20.12,513.3,461.97,5.68,10.37,98,30,-10.0,82.55,40.88,-0.0984,-0.0906,5.4,5.9,5.68,2025-06-11 19:59:59,2025-06-11 19:59:59,6,40,73.02,Long-Term Aggressive (Put)
isrg,put,2025-09-19,420,18.18,513.3,461.97,6.63,12.51,98,30,-10.0,88.65,39.81,-0.1144,-0.0979,6.3,6.9,6.63,2025-06-11 19:59:48,2025-06-11 19:59:48,6,40,75.46,Long-Term Aggressive (Put)
isrg,put,2025-10-17,410,20.12,513.3,461.97,8.05,14.32,126,30,-10.0,77.83,40.67,-0.1183,-0.0896,7.8,8.4,8.05,2025-06-11 19:59:59,2025-06-11 19:59:59,0,40,71.13,Long-Term Aggressive (Put)
isrg,put,2025-10-17,420,18.18,513.3,461.97,9.0,16.39,126,30,-10.0,82.08,39.29,-0.1329,-0.0933,8.8,9.5,9.0,2025-06-11 19:59:58,2025-06-11 19:59:58,5,40,72.83,Long-Term Aggressive (Put)
bx,put,2025-09-19,115,18.29,140.74,126.67,1.85,3.54,98,30,-10.0,91.16,40.71,-0.1355,-0.0316,2.11,2.44,1.85,2025-06-11 19:59:46,2025-06-11 19:59:46,17,40,76.46,Long-Term Aggressive (Put)
bx,put,2025-09-19,110,21.84,140.74,126.67,1.38,2.45,98,30,-10.0,77.38,42.17,-0.1017,-0.0268,1.49,1.83,1.38,2025-06-11 19:59:53,2025-06-11 19:59:53,5,40,70.95,Long-Term Aggressive (Put)
bx,put,2025-10-17,115,18.29,140.74,126.67,3.03,4.62,126,30,-10.0,52.44,40.13,-0.1546,-0.0298,2.71,3.35,0.0,2025-06-11 19:59:55,2025-06-11 19:59:55,0,40,60.98,Long-Term Aggressive (Put)
bx,put,2025-10-17,110,21.84,140.74,126.67,2.72,3.86,126,30,-10.0,41.87,43.92,-0.1309,-0.0293,1.74,3.7,0.0,2025-06-11 19:59:57,2025-06-11 19:59:57,0,40,56.75,Long-Term Aggressive (Put)
