Ticker,Option Type,Expiration,Strike,% OTM/ITM,Current Stock,Simulated Stock,Current Premium,Simulated Premium,Days Until Expiration,Days to Gain,Stock Gain %,Premium % Gain,Implied Volatility,Delta,Theta,Bid,Ask,Last Premium,Bid Date,Ask Date,Volume,Allocated ($),Simulated Equity ($),Run_Label
aapl,call,2025-09-19,235,20.12,195.64,215.2,1.78,2.49,93,45,10.0,39.9,26.99,0.1386,-0.0345,1.79,1.84,1.78,2025-06-16 19:59:59,2025-06-16 19:59:59,637,100,139.9,Short-Term 
aapl,call,2025-09-19,230,17.56,195.64,215.2,2.43,3.58,93,45,10.0,47.27,26.96,0.1757,-0.0405,2.41,2.45,2.43,2025-06-16 19:59:59,2025-06-16 19:59:59,837,100,147.27,Short-Term 
msft,call,2025-09-19,575,20.28,478.04,525.84,0.89,2.34,93,45,10.0,162.81,19.58,0.0466,-0.0268,0.27,1.01,0.89,2025-06-16 19:59:59,2025-06-16 19:59:59,531,100,262.81,Short-Term 
msft,call,2025-09-19,570,19.24,478.04,525.84,1.04,2.88,93,45,10.0,176.94,19.38,0.0538,-0.0298,0.65,1.3,1.04,2025-06-16 19:59:59,2025-06-16 19:59:59,10,100,276.94,Short-Term 
aapl,put,2025-09-19,155,20.77,195.64,215.2,1.59,0.06,93,45,10.0,-96.0,38.09,-0.0783,-0.028,1.46,1.49,1.59,2025-06-16 19:59:59,2025-06-16 19:59:59,14,100,4.0,Short-Term 
aapl,put,2025-09-19,160,18.22,195.64,215.2,1.87,0.1,93,45,10.0,-94.77,36.77,-0.0984,-0.0318,1.86,1.89,1.87,2025-06-16 19:59:59,2025-06-16 19:59:59,165,100,5.23,Short-Term 
msft,put,2025-09-19,380,20.51,478.04,525.84,1.99,0.03,93,45,10.0,-98.64,31.47,-0.057,-0.0435,1.93,2.19,1.99,2025-06-16 20:00:00,2025-06-16 20:00:00,45,100,1.36,Short-Term 
msft,put,2025-09-19,390,18.42,478.04,525.84,2.47,0.04,93,45,10.0,-98.39,30.26,-0.0709,-0.0493,2.21,3.35,2.47,2025-06-16 20:00:00,2025-06-16 20:00:00,40,100,1.61,Short-Term 
aapl,call,2025-11-21,235,20.12,195.64,215.2,4.1,6.67,156,45,10.0,62.56,26.97,0.2204,-0.0372,4.05,4.15,4.1,2025-06-16 19:59:59,2025-06-16 19:59:59,223,100,162.56,MShort-Term
aapl,call,2025-11-21,230,17.56,195.64,215.2,5.16,8.35,156,45,10.0,61.74,27.29,0.2611,-0.0416,5.1,5.2,5.16,2025-06-16 20:00:00,2025-06-16 20:00:00,88,100,161.74,MShort-Term
aapl,call,2025-12-19,235,20.12,195.64,215.2,4.9,8.23,184,45,10.0,67.9,26.73,0.2442,-0.0363,4.95,5.05,4.9,2025-06-16 20:00:00,2025-06-16 20:00:00,102,100,167.9,MShort-Term
aapl,call,2025-12-19,230,17.56,195.64,215.2,6.1,9.96,184,45,10.0,63.25,26.93,0.2829,-0.0397,6.1,6.2,6.1,2025-06-16 20:00:00,2025-06-16 20:00:00,780,100,163.25,MShort-Term
msft,call,2025-12-19,575,20.28,478.04,525.84,4.65,11.96,184,45,10.0,157.25,20.06,0.1411,-0.0474,4.65,5.8,4.65,2025-06-16 20:00:00,2025-06-16 20:00:00,2,100,257.25,MShort-Term
msft,call,2025-12-19,570,19.24,478.04,525.84,5.17,13.25,184,45,10.0,156.21,20.0,0.1542,-0.0503,4.35,5.75,5.17,2025-06-16 19:59:59,2025-06-16 19:59:59,14,100,256.21,MShort-Term
aapl,put,2025-11-21,155,20.77,195.64,215.2,2.93,0.67,156,45,10.0,-77.13,36.66,-0.1136,-0.0266,2.89,2.94,2.93,2025-06-16 19:59:59,2025-06-16 19:59:59,10,100,22.87,MShort-Term
aapl,put,2025-11-21,160,18.22,195.64,215.2,3.52,0.86,156,45,10.0,-75.62,35.56,-0.1353,-0.0289,3.45,3.6,3.52,2025-06-16 20:00:00,2025-06-16 20:00:00,26,100,24.38,MShort-Term
aapl,put,2025-12-19,155,20.77,195.64,215.2,3.4,0.97,184,45,10.0,-71.42,35.67,-0.122,-0.0248,3.3,3.4,3.4,2025-06-16 19:59:59,2025-06-16 19:59:59,53,100,28.58,MShort-Term
aapl,put,2025-12-19,160,18.22,195.64,215.2,4.05,1.22,184,45,10.0,-69.97,34.67,-0.1441,-0.0269,4.0,4.1,4.05,2025-06-16 20:00:00,2025-06-16 20:00:00,130,100,30.03,MShort-Term
msft,put,2025-12-19,380,20.51,478.04,525.84,5.22,0.93,184,45,10.0,-82.17,29.59,-0.0999,-0.0428,5.0,5.3,5.22,2025-06-16 19:59:59,2025-06-16 19:59:59,8,100,17.83,MShort-Term
msft,put,2025-12-19,385,19.46,478.04,525.84,5.75,1.06,184,45,10.0,-81.6,29.27,-0.1092,-0.045,5.6,5.75,5.75,2025-06-16 19:59:59,2025-06-16 19:59:59,14,100,18.4,MShort-Term
aapl,call,2026-02-20,255,30.34,195.64,244.55,3.6,15.63,247,75,25.0,334.27,26.37,0.1769,-0.0257,3.7,3.8,3.6,2025-06-16 19:59:59,2025-06-16 19:59:59,1,100,434.27,Mid-Term
aapl,call,2026-02-20,250,27.79,195.64,244.55,4.4,17.79,247,75,25.0,304.31,26.34,0.2011,-0.0279,4.4,4.5,4.4,2025-06-16 19:59:59,2025-06-16 19:59:59,12,100,404.31,Mid-Term
aapl,call,2026-03-20,250,27.79,195.64,244.55,5.2,19.62,275,75,25.0,277.37,26.37,0.2208,-0.0283,5.15,5.3,5.2,2025-06-16 20:00:00,2025-06-16 20:00:00,550,100,377.37,Mid-Term
aapl,call,2026-03-20,260,32.9,195.64,244.55,3.75,15.26,275,75,25.0,306.95,26.15,0.1712,-0.0238,3.7,3.85,3.75,2025-06-16 20:00:00,2025-06-16 20:00:00,233,100,406.95,Mid-Term
msft,call,2026-03-20,620,29.7,478.04,597.55,4.77,34.26,275,75,25.0,618.23,20.91,0.1197,-0.0365,3.7,5.8,4.77,2025-06-16 20:00:00,2025-06-16 20:00:00,3,100,718.23,Mid-Term
msft,call,2026-03-20,630,31.79,478.04,597.55,4.0,30.16,275,75,25.0,654.11,20.93,0.1033,-0.0327,3.15,5.05,4.0,2025-06-16 19:59:59,2025-06-16 19:59:59,3,100,754.11,Mid-Term
aapl,put,2026-02-20,135,31.0,195.64,146.73,2.83,8.31,247,75,-25.0,193.54,38.29,-0.0735,-0.0159,2.31,2.37,2.83,2025-06-16 19:59:59,2025-06-16 19:59:59,0,100,293.54,Mid-Term
aapl,put,2026-02-20,140,28.44,195.64,146.73,2.81,9.99,247,75,-25.0,255.45,37.31,-0.0866,-0.0175,2.74,2.8,2.81,2025-06-16 19:59:59,2025-06-16 19:59:59,2,100,355.45,Mid-Term
aapl,put,2026-03-20,135,31.0,195.64,146.73,2.66,8.96,275,75,-25.0,236.97,37.79,-0.0787,-0.0156,2.64,2.7,2.66,2025-06-16 20:00:00,2025-06-16 20:00:00,42,100,336.97,Mid-Term
aapl,put,2026-03-20,140,28.44,195.64,146.73,3.41,10.69,275,75,-25.0,213.36,36.93,-0.0925,-0.017,3.1,3.2,3.41,2025-06-16 20:00:00,2025-06-16 20:00:00,0,100,313.36,Mid-Term
msft,put,2026-03-20,330,30.97,478.04,358.53,4.2,16.65,275,75,-25.0,296.46,31.94,-0.0582,-0.025,3.35,4.05,4.2,2025-06-16 20:00:00,2025-06-16 20:00:00,0,100,396.46,Mid-Term
msft,put,2026-03-20,340,28.88,478.04,358.53,4.99,19.83,275,75,-25.0,297.31,31.31,-0.0686,-0.0277,4.1,4.7,4.99,2025-06-16 20:00:00,2025-06-16 20:00:00,1,100,397.31,Mid-Term
aapl,call,2026-02-20,255,30.34,195.64,273.9,3.6,32.73,247,90,40.0,809.29,26.37,0.1769,-0.0257,3.7,3.8,3.6,2025-06-16 19:59:59,2025-06-16 19:59:59,1,100,909.29,Mid-Term
aapl,call,2026-02-20,250,27.79,195.64,273.9,4.4,36.12,247,90,40.0,720.81,26.34,0.2011,-0.0279,4.4,4.5,4.4,2025-06-16 19:59:59,2025-06-16 19:59:59,12,100,820.81,Mid-Term
aapl,call,2026-03-20,250,27.79,195.64,273.9,5.2,38.04,275,90,40.0,631.46,26.37,0.2208,-0.0283,5.15,5.3,5.2,2025-06-16 20:00:00,2025-06-16 20:00:00,550,100,731.46,Mid-Term
aapl,call,2026-03-20,260,32.9,195.64,273.9,3.75,31.42,275,90,40.0,737.83,26.15,0.1712,-0.0238,3.7,3.85,3.75,2025-06-16 20:00:00,2025-06-16 20:00:00,233,100,837.83,Mid-Term
msft,call,2026-03-20,620,29.7,478.04,669.26,4.77,78.65,275,90,40.0,1548.92,20.91,0.1197,-0.0365,3.7,5.8,4.77,2025-06-16 20:00:00,2025-06-16 20:00:00,3,100,1648.92,Mid-Term
msft,call,2026-03-20,630,31.79,478.04,669.26,4.0,71.76,275,90,40.0,1693.9,20.93,0.1033,-0.0327,3.15,5.05,4.0,2025-06-16 19:59:59,2025-06-16 19:59:59,3,100,1793.9,Mid-Term
aapl,put,2026-02-20,135,31.0,195.64,146.73,2.83,7.82,247,90,-25.0,176.31,38.29,-0.0735,-0.0159,2.31,2.37,2.83,2025-06-16 19:59:59,2025-06-16 19:59:59,0,100,276.31,Mid-Term
aapl,put,2026-02-20,140,28.44,195.64,146.73,2.81,9.5,247,90,-25.0,237.91,37.31,-0.0866,-0.0175,2.74,2.8,2.81,2025-06-16 19:59:59,2025-06-16 19:59:59,2,100,337.91,Mid-Term
aapl,put,2026-03-20,135,31.0,195.64,146.73,2.66,8.53,275,90,-25.0,220.63,37.79,-0.0787,-0.0156,2.64,2.7,2.66,2025-06-16 20:00:00,2025-06-16 20:00:00,42,100,320.63,Mid-Term
aapl,put,2026-03-20,140,28.44,195.64,146.73,3.41,10.25,275,90,-25.0,200.5,36.93,-0.0925,-0.017,3.1,3.2,3.41,2025-06-16 20:00:00,2025-06-16 20:00:00,0,100,300.5,Mid-Term
msft,put,2026-03-20,330,30.97,478.04,358.53,4.2,15.8,275,90,-25.0,276.23,31.94,-0.0582,-0.025,3.35,4.05,4.2,2025-06-16 20:00:00,2025-06-16 20:00:00,0,100,376.23,Mid-Term
msft,put,2026-03-20,340,28.88,478.04,358.53,4.99,18.96,275,90,-25.0,280.04,31.31,-0.0686,-0.0277,4.1,4.7,4.99,2025-06-16 20:00:00,2025-06-16 20:00:00,1,100,380.04,Mid-Term
aapl,call,2026-12-18,370,89.12,195.64,489.1,1.57,136.87,548,270,150.0,8617.52,26.83,0.0584,-0.0079,1.42,1.49,1.57,2025-06-16 19:59:59,2025-06-16 19:59:59,0,100,8717.52,Long-Term
aapl,call,2026-12-18,380,94.23,195.64,489.1,1.49,128.51,548,270,150.0,8524.68,27.01,0.0509,-0.0071,1.21,1.29,1.49,2025-06-16 19:59:59,2025-06-16 19:59:59,0,100,8624.68,Long-Term
aapl,call,2027-01-15,370,89.12,195.64,489.1,1.67,138.76,576,270,150.0,8209.17,26.68,0.0637,-0.0082,1.6,1.67,1.67,2025-06-16 19:59:59,2025-06-16 19:59:59,0,100,8309.17,Long-Term
aapl,call,2027-01-15,380,94.23,195.64,489.1,1.41,130.51,576,270,150.0,9156.15,26.83,0.0556,-0.0074,1.37,1.44,1.41,2025-06-16 19:59:59,2025-06-16 19:59:59,0,100,9256.15,Long-Term
aapl,put,2026-12-18,115,41.22,195.64,78.26,3.6,34.89,548,270,-60.0,869.03,38.56,-0.0678,-0.0096,3.35,3.45,3.6,2025-06-16 19:59:59,2025-06-16 19:59:59,0,100,969.03,Long-Term
aapl,put,2026-12-18,120,38.66,195.64,78.26,4.25,39.08,548,270,-60.0,819.52,37.83,-0.0779,-0.0104,3.85,4.0,4.25,2025-06-16 19:59:59,2025-06-16 19:59:59,0,100,919.52,Long-Term
aapl,put,2027-01-15,115,41.22,195.64,78.26,3.68,34.82,576,270,-60.0,846.16,38.27,-0.0695,-0.0095,3.5,3.65,3.68,2025-06-16 19:59:59,2025-06-16 19:59:59,0,100,946.16,Long-Term
aapl,put,2027-01-15,120,38.66,195.64,78.26,4.35,38.94,576,270,-60.0,795.06,37.51,-0.0794,-0.0102,4.05,4.15,4.35,2025-06-16 19:59:59,2025-06-16 19:59:59,2,100,895.06,Long-Term
msft,put,2026-12-18,285,40.38,478.04,191.22,5.67,86.65,548,270,-60.0,1428.22,33.62,-0.0571,-0.0177,4.75,6.05,5.67,2025-06-16 20:00:00,2025-06-16 20:00:00,2,100,1528.22,Long-Term
msft,put,2026-12-18,290,39.34,478.04,191.22,6.15,91.02,548,270,-60.0,1380.01,33.45,-0.0615,-0.0186,6.0,6.45,6.15,2025-06-16 19:59:59,2025-06-16 19:59:59,6,100,1480.01,Long-Term
msft,put,2027-01-15,290,39.34,478.04,191.22,6.4,90.49,576,270,-60.0,1313.87,33.09,-0.0627,-0.0181,6.0,6.8,6.4,2025-06-16 19:59:59,2025-06-16 19:59:59,0,100,1413.87,Long-Term
msft,put,2027-01-15,280,41.43,478.04,191.22,5.7,82.09,576,270,-60.0,1340.23,33.8,-0.0557,-0.0169,4.65,6.05,5.7,2025-06-16 19:59:59,2025-06-16 19:59:59,2,100,1440.23,Long-Term
