Ticker,Option Type,Expiration,Strike,Underlying Price,Current Premium,Underlying Gain %,Premium % Gain,Implied Volatility,Bid Date,Volume
nvda,call,2025-11-21,220.0,181.77,3.7,15.0,90.48,39.9,2025-08-26 20:00:00,2909.0
nvda,call,2025-11-21,210.0,181.77,5.53,15.0,100.86,39.95,2025-08-26 19:59:59,1396.0
nvda,call,2025-12-19,218.0,181.77,5.62,15.0,99.41,39.44,2025-08-26 19:59:59,13.0
nvda,call,2025-12-19,219.0,181.77,5.43,15.0,99.29,39.43,2025-08-26 19:59:59,34.0
crwd,call,2025-11-21,500.0,417.6,10.15,15.0,86.35,41.19,2025-08-26 19:59:59,131.0
crwd,call,2025-11-21,510.0,417.6,9.41,15.0,62.01,40.81,2025-08-26 19:59:59,0.0
crwd,call,2025-12-19,500.0,417.6,15.33,15.0,85.66,42.34,2025-08-26 19:59:59,47.0
crwd,call,2025-12-19,510.0,417.6,13.77,15.0,79.14,42.26,2025-08-26 19:59:59,12.0
snow,call,2025-11-21,230.0,194.35,7.35,15.0,63.56,48.58,2025-08-26 19:59:59,9.0
snow,call,2025-11-21,240.0,194.35,5.35,15.0,52.55,47.6,2025-08-26 19:59:59,135.0
snow,call,2025-12-19,230.0,194.35,9.47,15.0,71.71,47.33,2025-08-26 19:59:59,20.0
snow,call,2025-12-19,240.0,194.35,7.2,15.0,70.82,46.85,2025-08-26 19:59:59,3.0
five,call,2025-11-21,170.0,141.98,4.55,15.0,44.04,41.78,2025-08-26 19:59:50,0.0
five,call,2025-11-21,175.0,141.98,2.38,15.0,111.07,42.46,2025-08-26 19:59:58,0.0
bby,call,2025-11-21,90.0,73.67,1.0,15.0,121.68,36.38,2025-08-26 19:59:59,0.0
bby,call,2025-11-21,85.0,73.67,1.66,15.0,152.09,36.63,2025-08-26 19:59:50,2.0
bby,call,2025-12-19,90.0,73.67,1.51,15.0,142.45,37.49,2025-08-26 19:59:55,204.0
bby,call,2025-12-19,85.0,73.67,2.43,15.0,136.8,37.83,2025-08-26 19:59:59,3.0
dg,call,2025-11-21,135.0,110.5,1.07,15.0,161.52,32.96,2025-08-26 19:59:59,8.0
dg,call,2025-11-21,130.0,110.5,1.62,15.0,176.8,32.63,2025-08-26 19:59:59,12.0
dks,call,2025-11-21,270.0,226.81,3.8,15.0,125.36,34.41,2025-08-26 19:59:52,0.0
dks,call,2025-11-21,280.0,226.81,2.58,15.0,105.03,34.07,2025-08-26 19:59:54,15.0
dks,call,2025-12-19,270.0,226.81,6.4,15.0,112.49,36.8,2025-08-26 19:59:59,7.0
dks,call,2025-12-19,280.0,226.81,4.6,15.0,115.22,36.54,2025-08-26 19:59:55,2.0
dell,call,2025-11-21,155.0,130.99,3.05,15.0,110.71,40.09,2025-08-26 20:00:00,2.0
dell,call,2025-11-21,160.0,130.99,2.24,15.0,105.91,39.95,2025-08-26 19:59:58,805.0
dell,call,2025-12-19,155.0,130.99,5.3,15.0,83.92,42.63,2025-08-26 20:00:00,0.0
dell,call,2025-12-19,160.0,130.99,3.95,15.0,93.72,41.96,2025-08-26 20:00:00,14.0
afrm,call,2025-11-21,95.0,77.95,6.0,15.0,8.61,71.93,2025-08-26 20:00:00,1503.0
afrm,call,2025-11-21,90.0,77.95,7.26,15.0,18.36,72.24,2025-08-26 20:00:00,3.0
afrm,call,2025-12-19,95.0,77.95,5.4,15.0,59.06,67.75,2025-08-26 20:00:00,0.0
afrm,call,2025-12-19,90.0,77.95,8.25,15.0,29.2,67.92,2025-08-26 19:59:59,1.0
mrvl,call,2025-11-21,90.0,74.26,3.17,15.0,40.68,54.65,2025-08-26 19:59:59,68.0
mrvl,call,2025-11-21,85.0,74.26,4.25,15.0,52.51,53.9,2025-08-26 20:00:00,45.0
mrvl,call,2025-12-19,90.0,74.26,4.45,15.0,46.63,55.18,2025-08-26 19:59:59,13.0
mrvl,call,2025-12-19,85.0,74.26,5.9,15.0,47.19,55.44,2025-08-26 19:59:59,23.0
ulta,call,2025-12-19,630.0,526.06,8.2,15.0,185.56,30.36,2025-08-26 19:59:59,0.0
ulta,call,2025-12-19,640.0,526.06,7.2,15.0,167.8,29.77,2025-08-26 19:59:59,0.0
gap,call,2025-12-19,26.0,21.58,1.07,15.0,62.91,50.21,2025-08-26 19:59:58,10.0
gap,call,2025-12-19,25.0,21.58,1.35,15.0,61.45,50.58,2025-08-26 19:59:58,5.0
baba,call,2025-12-19,150.0,124.19,1.87,15.0,347.74,44.02,2024-11-22 14:59:51,
baba,call,2025-12-19,150.0,124.19,4.05,15.0,98.17,42.6,2025-08-26 19:59:59,246.0
baba,call,2025-11-21,150.0,124.19,3.09,15.0,85.68,44.36,2025-08-26 19:59:59,63.0
baba,call,2025-11-21,145.0,124.19,3.95,15.0,91.86,43.59,2025-08-26 19:59:59,97.0
nvda,call,2025-11-21,220.0,181.77,3.7,15.0,90.48,39.9,2025-08-26 20:00:00,2909.0
nvda,call,2025-11-21,210.0,181.77,5.53,15.0,100.86,39.95,2025-08-26 19:59:59,1396.0
nvda,call,2025-12-19,218.0,181.77,5.62,15.0,99.41,39.44,2025-08-26 19:59:59,13.0
nvda,call,2025-12-19,219.0,181.77,5.43,15.0,99.29,39.43,2025-08-26 19:59:59,34.0
crwd,call,2025-11-21,500.0,417.6,10.15,15.0,86.35,41.19,2025-08-26 19:59:59,131.0
crwd,call,2025-11-21,510.0,417.6,9.41,15.0,62.01,40.81,2025-08-26 19:59:59,0.0
crwd,call,2025-12-19,500.0,417.6,15.33,15.0,85.66,42.34,2025-08-26 19:59:59,47.0
crwd,call,2025-12-19,510.0,417.6,13.77,15.0,79.14,42.26,2025-08-26 19:59:59,12.0
snow,call,2025-11-21,230.0,194.35,7.35,15.0,63.56,48.58,2025-08-26 19:59:59,9.0
snow,call,2025-11-21,240.0,194.35,5.35,15.0,52.55,47.6,2025-08-26 19:59:59,135.0
snow,call,2025-12-19,230.0,194.35,9.47,15.0,71.71,47.33,2025-08-26 19:59:59,20.0
snow,call,2025-12-19,240.0,194.35,7.2,15.0,70.82,46.85,2025-08-26 19:59:59,3.0
