Ticker,Current Underlying,Option Type,Strike,Expiration,Implied Volatility,Number of Contracts,Average Cost per Contract,Equity Invested,Current Premium,Current Equity,Current % Change,Days to Gain,Scenario % Change,Simulated Underlying (+),Simulated Underlying (-),Simulated Premium (+),Simulated Premium (-),Premium % Change (+),Premium % Change (-)
COIN,375.07,call,450.0,2026-05-15,62.98,5,13.0,6500.0,67.75,33875.0,421.15,60,±5%,393.82,356.32,68.17,49.55,0.62,-26.86
COIN,375.07,call,450.0,2026-05-15,62.98,5,13.0,6500.0,67.75,33875.0,421.15,60,±10%,412.58,337.56,78.49,41.33,15.86,-38.99
COIN,375.07,call,450.0,2026-05-15,62.98,5,13.0,6500.0,67.75,33875.0,421.15,60,±20%,450.08,300.06,100.99,27.2,49.06,-59.85
COIN,375.07,call,450.0,2026-05-15,62.98,5,13.0,6500.0,67.75,33875.0,421.15,60,±50%,562.61,187.53,180.64,3.64,166.62,-94.63
COIN,375.07,call,450.0,2026-05-15,62.98,5,13.0,6500.0,67.75,33875.0,421.15,60,±100%,750.14,0.0,339.47,0.0,401.06,-100.0
COIN,375.07,call,450.0,2026-05-15,62.98,5,13.0,6500.0,67.75,33875.0,421.15,60,±200%,1125.21,-375.07,696.35,,927.82,
COIN,375.07,call,350.0,2026-05-15,64.82,1,13.86,1386.0,105.6,10560.0,661.9,60,±5%,393.82,356.32,110.05,84.6,4.22,-19.89
COIN,375.07,call,350.0,2026-05-15,64.82,1,13.86,1386.0,105.6,10560.0,661.9,60,±10%,412.58,337.56,123.65,72.85,17.09,-31.02
COIN,375.07,call,350.0,2026-05-15,64.82,1,13.86,1386.0,105.6,10560.0,661.9,60,±20%,450.08,300.06,152.3,51.6,44.22,-51.14
COIN,375.07,call,350.0,2026-05-15,64.82,1,13.86,1386.0,105.6,10560.0,661.9,60,±50%,562.61,187.53,247.03,9.74,133.93,-90.78
COIN,375.07,call,350.0,2026-05-15,64.82,1,13.86,1386.0,105.6,10560.0,661.9,60,±100%,750.14,0.0,421.13,0.0,298.79,-100.0
COIN,375.07,call,350.0,2026-05-15,64.82,1,13.86,1386.0,105.6,10560.0,661.9,60,±200%,1125.21,-375.07,789.12,,647.28,
COIN,375.07,call,520.0,2026-05-15,62.85,1,51.85,5185.0,51.9,5190.0,0.1,60,±5%,393.82,356.32,49.18,34.59,-5.25,-33.36
COIN,375.07,call,520.0,2026-05-15,62.85,1,51.85,5185.0,51.9,5190.0,0.1,60,±10%,412.58,337.56,57.47,28.32,10.72,-45.43
COIN,375.07,call,520.0,2026-05-15,62.85,1,51.85,5185.0,51.9,5190.0,0.1,60,±20%,450.08,300.06,75.93,17.88,46.3,-65.56
COIN,375.07,call,520.0,2026-05-15,62.85,1,51.85,5185.0,51.9,5190.0,0.1,60,±50%,562.61,187.53,144.47,1.99,178.36,-96.17
COIN,375.07,call,520.0,2026-05-15,62.85,1,51.85,5185.0,51.9,5190.0,0.1,60,±100%,750.14,0.0,289.82,0.0,458.42,-100.0
COIN,375.07,call,520.0,2026-05-15,62.85,1,51.85,5185.0,51.9,5190.0,0.1,60,±200%,1125.21,-375.07,634.38,,1122.31,
COIN,375.07,call,520.0,2027-01-15,60.9,1,51.85,5185.0,68.62,6862.0,32.34,60,±5%,393.82,356.32,82.34,63.6,19.99,-7.32
COIN,375.07,call,520.0,2027-01-15,60.9,1,51.85,5185.0,68.62,6862.0,32.34,60,±10%,412.58,337.56,92.46,55.04,34.75,-19.79
COIN,375.07,call,520.0,2027-01-15,60.9,1,51.85,5185.0,68.62,6862.0,32.34,60,±20%,450.08,300.06,114.1,39.66,66.28,-42.2
COIN,375.07,call,520.0,2027-01-15,60.9,1,51.85,5185.0,68.62,6862.0,32.34,60,±50%,562.61,187.53,188.41,8.92,174.57,-87.01
COIN,375.07,call,520.0,2027-01-15,60.9,1,51.85,5185.0,68.62,6862.0,32.34,60,±100%,750.14,0.0,334.57,0.0,387.57,-100.0
