Ticker,Expiration,Strike,% OTM/ITM,Current Stock,Simulated Stock,Current Premium,Simulated Premium,Days Until Expiration,Days to Gain,Stock Gain %,% Gain,Implied Volatility,Delta,Theta,Run_Label
uber,8/15/2025,70,-20.88,88.47,97.32,20.51,27.4,84,75,10,33.61,45.24,0.8913,-0.0281,Short-Term 
uber,8/15/2025,72.5,-18.05,88.47,97.32,19.7,24.91,84,75,10,26.43,43.98,0.8639,-0.031,Short-Term 
uber,8/15/2025,75,-15.23,88.47,97.32,16.8,22.41,84,75,10,33.39,43.78,0.8271,-0.0348,Short-Term 
uber,9/19/2025,70,-20.88,88.47,97.32,21.5,27.81,119,75,10,29.37,45.33,0.8626,-0.0276,Short-Term 
uber,9/19/2025,72.5,-18.05,88.47,97.32,23.7,25.36,119,75,10,6.99,43.08,0.84,-0.0287,Short-Term 
uber,9/19/2025,75,-15.23,88.47,97.32,17.28,22.93,119,75,10,32.69,41.86,0.8094,-0.0306,Short-Term 
uber,8/15/2025,70,-20.88,88.47,79.62,20.51,9.78,84,75,-10,-52.32,45.24,0.8913,-0.0281,Short-Term 
uber,8/15/2025,72.5,-18.05,88.47,79.62,19.7,7.42,84,75,-10,-62.36,43.98,0.8639,-0.031,Short-Term 
uber,8/15/2025,75,-15.23,88.47,79.62,16.8,5.26,84,75,-10,-68.69,43.78,0.8271,-0.0348,Short-Term 
uber,9/19/2025,70,-20.88,88.47,79.62,21.5,11.31,119,75,-10,-47.38,45.33,0.8626,-0.0276,Short-Term 
uber,9/19/2025,72.5,-18.05,88.47,79.62,23.7,9.27,119,75,-10,-60.9,43.08,0.84,-0.0287,Short-Term 
uber,9/19/2025,75,-15.23,88.47,79.62,17.28,7.45,119,75,-10,-56.87,41.86,0.8094,-0.0306,Short-Term 
uber,8/15/2025,70,-20.88,88.47,70.78,20.51,2.45,84,75,-20,-88.04,45.24,0.8913,-0.0281,Short-Term 
uber,8/15/2025,72.5,-18.05,88.47,70.78,19.7,1.26,84,75,-20,-93.6,43.98,0.8639,-0.031,Short-Term 
uber,8/15/2025,75,-15.23,88.47,70.78,16.8,0.58,84,75,-20,-96.58,43.78,0.8271,-0.0348,Short-Term 
uber,9/19/2025,70,-20.88,88.47,70.78,21.5,5.03,119,75,-20,-76.62,45.33,0.8626,-0.0276,Short-Term 
uber,9/19/2025,72.5,-18.05,88.47,70.78,23.7,3.64,119,75,-20,-84.62,43.08,0.84,-0.0287,Short-Term 
uber,9/19/2025,75,-15.23,88.47,70.78,17.28,2.59,119,75,-20,-85.02,41.86,0.8094,-0.0306,Short-Term 
uber,8/15/2025,70,-20.88,88.47,106.16,20.51,36.25,84,75,20,76.74,45.24,0.8913,-0.0281,Short-Term 
uber,8/15/2025,72.5,-18.05,88.47,106.16,19.7,33.75,84,75,20,71.34,43.98,0.8639,-0.031,Short-Term 
uber,8/15/2025,75,-15.23,88.47,106.16,16.8,31.26,84,75,20,86.05,43.78,0.8271,-0.0348,Short-Term 
uber,9/19/2025,70,-20.88,88.47,106.16,21.5,36.6,119,75,20,70.23,45.33,0.8626,-0.0276,Short-Term 
uber,9/19/2025,72.5,-18.05,88.47,106.16,23.7,34.12,119,75,20,43.96,43.08,0.84,-0.0287,Short-Term 
uber,9/19/2025,75,-15.23,88.47,106.16,17.28,31.65,119,75,20,83.14,41.86,0.8094,-0.0306,Short-Term 
uber,8/15/2025,70,-20.88,88.47,84.05,20.51,14.14,84,75,-5,-31.05,45.24,0.8913,-0.0281,Short-Term 
uber,8/15/2025,72.5,-18.05,88.47,84.05,19.7,11.67,84,75,-5,-40.78,43.98,0.8639,-0.031,Short-Term 
uber,8/15/2025,75,-15.23,88.47,84.05,16.8,9.24,84,75,-5,-44.97,43.78,0.8271,-0.0348,Short-Term 
uber,9/19/2025,70,-20.88,88.47,84.05,21.5,15.14,119,75,-5,-29.58,45.33,0.8626,-0.0276,Short-Term 
uber,9/19/2025,72.5,-18.05,88.47,84.05,23.7,12.9,119,75,-5,-45.57,43.08,0.84,-0.0287,Short-Term 
uber,9/19/2025,75,-15.23,88.47,84.05,17.28,10.82,119,75,-5,-37.4,41.86,0.8094,-0.0306,Short-Term 
uber,8/15/2025,70,-20.88,88.47,92.89,20.51,22.98,84,75,5,12.04,45.24,0.8913,-0.0281,Short-Term 
uber,8/15/2025,72.5,-18.05,88.47,92.89,19.7,20.48,84,75,5,3.97,43.98,0.8639,-0.031,Short-Term 
uber,8/15/2025,75,-15.23,88.47,92.89,16.8,17.99,84,75,5,7.07,43.78,0.8271,-0.0348,Short-Term 
uber,9/19/2025,70,-20.88,88.47,92.89,21.5,23.48,119,75,5,9.2,45.33,0.8626,-0.0276,Short-Term 
uber,9/19/2025,72.5,-18.05,88.47,92.89,23.7,21.05,119,75,5,-11.16,43.08,0.84,-0.0287,Short-Term 
uber,9/19/2025,75,-15.23,88.47,92.89,17.28,18.69,119,75,5,8.14,41.86,0.8094,-0.0306,Short-Term 
uber,3/20/2026,110,24.34,88.47,92.89,6.45,6.39,301,75,5,-0.86,38.66,0.3692,-0.0225,Long-Term
uber,3/20/2026,115,29.99,88.47,92.89,5.28,5.12,301,75,5,-3.11,38.38,0.3205,-0.021,Long-Term
uber,3/20/2026,110,24.34,88.47,84.05,6.45,3.54,301,75,-5,-45.06,38.66,0.3692,-0.0225,Long-Term
uber,3/20/2026,115,29.99,88.47,84.05,5.28,2.73,301,75,-5,-48.31,38.38,0.3205,-0.021,Long-Term
uber,3/20/2026,110,24.34,88.47,101.74,6.45,10.29,301,75,15,59.58,38.66,0.3692,-0.0225,Long-Term
uber,3/20/2026,115,29.99,88.47,101.74,5.28,8.5,301,75,15,60.96,38.38,0.3205,-0.021,Long-Term
uber,3/20/2026,110,24.34,88.47,75.2,6.45,1.68,301,75,-15,-73.89,38.66,0.3692,-0.0225,Long-Term
uber,3/20/2026,115,29.99,88.47,75.2,5.28,1.24,301,75,-15,-76.55,38.38,0.3205,-0.021,Long-Term
uber,3/20/2026,77.5,-12.4,88.47,101.74,23.9,29.53,301,75,15,23.57,42.79,0.7364,-0.0239,Long-Term ITM
uber,3/20/2026,80,-9.57,88.47,101.74,19.12,27.54,301,75,15,44.05,41.95,0.7103,-0.0243,Long-Term ITM
uber,3/20/2026,82.5,-6.75,88.47,101.74,17.7,25.71,301,75,15,45.26,41.65,0.6824,-0.0249,Long-Term ITM
uber,3/20/2026,77.5,-12.45,88.52,75.24,23.9,10.1,301,75,-15,-57.72,42.79,0.7364,-0.0239,Long-Term ITM
uber,3/20/2026,80,-9.62,88.52,75.24,19.12,8.9,301,75,-15,-53.46,41.95,0.7103,-0.0243,Long-Term ITM
uber,3/20/2026,82.5,-6.8,88.52,75.24,17.7,7.9,301,75,-15,-55.34,41.65,0.6824,-0.0249,Long-Term ITM
uber,3/20/2026,77.5,-12.45,88.52,92.95,23.9,22.28,301,75,5,-6.78,42.79,0.7364,-0.0239,Long-Term ITM
uber,3/20/2026,80,-9.62,88.52,92.95,19.12,20.49,301,75,5,7.15,41.95,0.7103,-0.0243,Long-Term ITM
uber,3/20/2026,82.5,-6.8,88.52,92.95,17.7,18.88,301,75,5,6.69,41.65,0.6824,-0.0249,Long-Term ITM
uber,3/20/2026,77.5,-12.45,88.52,84.09,23.9,15.71,301,75,-5,-34.28,42.79,0.7364,-0.0239,Long-Term ITM
uber,3/20/2026,80,-9.62,88.52,84.09,19.12,14.18,301,75,-5,-25.86,41.95,0.7103,-0.0243,Long-Term ITM
uber,3/20/2026,82.5,-6.8,88.52,84.09,17.7,12.86,301,75,-5,-27.36,41.65,0.6824,-0.0249,Long-Term ITM
,,,,,,,,,,,,,,,
*yellow are your contracts,,,,,,,,,,,,,,,
