Ticker,Expiration,Strike,% OTM/ITM,Current Stock,Simulated Stock,Current Premium,Simulated Premium,Days Until Expiration,Days to Gain,Stock Gain %,% Gain,Implied Volatility,Delta,Theta,Run_Label
AAPL,2025-08-15,230,11.19,206.86,227.55,3.83,10.12,85,20,10.0,164.27,26.95,0.2511,-0.0548,Short-Term Conservative
AAPL,2025-08-15,235,13.6,206.86,227.55,2.75,7.87,85,20,10.0,186.22,26.68,0.1993,-0.0473,Short-Term Conservative
AAPL,2025-08-15,240,16.02,206.86,227.55,2.04,6.04,85,20,10.0,196.29,26.57,0.1561,-0.0401,Short-Term Conservative
AAPL,2025-08-15,245,18.44,206.86,227.55,1.5,4.6,85,20,10.0,206.68,26.6,0.1214,-0.0336,Short-Term Conservative
MSFT,2025-08-15,505,10.22,458.17,503.99,5.15,19.41,85,20,10.0,276.9,20.85,0.2058,-0.0851,Short-Term Conservative
MSFT,2025-08-15,510,11.31,458.17,503.99,4.3,16.93,85,20,10.0,293.78,20.8,0.1787,-0.0775,Short-Term Conservative
MSFT,2025-08-15,515,12.4,458.17,503.99,3.45,14.68,85,20,10.0,325.61,20.76,0.1543,-0.07,Short-Term Conservative
MSFT,2025-08-15,520,13.49,458.17,503.99,2.81,12.62,85,20,10.0,349.01,20.68,0.1318,-0.0624,Short-Term Conservative
MSFT,2025-08-15,525,14.59,458.17,503.99,2.32,10.81,85,20,10.0,365.95,20.66,0.1123,-0.0555,Short-Term Conservative
MSFT,2025-08-15,530,15.68,458.17,503.99,1.85,9.2,85,20,10.0,397.44,20.64,0.0952,-0.049,Short-Term Conservative
MSFT,2025-08-15,535,16.77,458.17,503.99,1.53,7.81,85,20,10.0,410.65,20.66,0.0806,-0.0432,Short-Term Conservative
MSFT,2025-08-15,540,17.86,458.17,503.99,1.3,6.61,85,20,10.0,408.42,20.7,0.0681,-0.0379,Short-Term Conservative
MSFT,2025-08-15,545,18.95,458.17,503.99,1.13,5.57,85,20,10.0,392.83,20.75,0.0573,-0.0331,Short-Term Conservative
MSFT,2025-08-15,550,20.04,458.17,503.99,0.86,4.95,85,20,10.0,475.58,21.27,0.0521,-0.0314,Short-Term Conservative
GOOG,2025-08-15,185,11.9,165.32,181.85,4.0,8.94,85,20,10.0,123.38,31.48,0.2757,-0.0531,Short-Term Conservative
GOOG,2025-08-15,190,14.93,165.32,181.85,3.05,6.97,85,20,10.0,128.5,31.69,0.2227,-0.0474,Short-Term Conservative
GOOG,2025-08-15,195,17.95,165.32,181.85,2.29,5.34,85,20,10.0,133.23,31.81,0.177,-0.0411,Short-Term Conservative
U,2025-08-15,25,12.46,22.23,24.45,1.84,2.5,85,20,10.0,35.68,64.29,0.427,-0.0166,Short-Term Conservative
U,2025-08-15,26,16.96,22.23,24.45,1.63,2.11,85,20,10.0,29.2,64.4,0.379,-0.0161,Short-Term Conservative
AAPL,2025-11-21,270,30.52,206.86,248.23,1.8,9.17,183,45,20.0,409.53,25.73,0.1041,-0.0205,Long-Term Aggressive
AAPL,2025-11-21,275,32.94,206.86,248.23,1.42,7.75,183,45,20.0,445.53,25.74,0.0873,-0.018,Long-Term Aggressive
AAPL,2025-11-21,280,35.36,206.86,248.23,1.24,6.59,183,45,20.0,431.54,25.91,0.0742,-0.0159,Long-Term Aggressive
AAPL,2025-11-21,285,37.77,206.86,248.23,1.01,5.59,183,45,20.0,453.93,26.08,0.063,-0.0141,Long-Term Aggressive
AAPL,2025-11-21,290,40.19,206.86,248.23,0.8,4.76,183,45,20.0,495.23,26.3,0.0539,-0.0125,Long-Term Aggressive
GOOG,2025-11-21,215,30.05,165.32,198.38,2.99,10.14,183,45,20.0,239.01,31.19,0.1619,-0.0268,Long-Term Aggressive
GOOG,2025-11-21,220,33.08,165.32,198.38,2.64,8.83,183,45,20.0,234.64,31.74,0.1429,-0.025,Long-Term Aggressive
GOOG,2025-11-21,225,36.1,165.32,198.38,2.07,7.51,183,45,20.0,262.96,31.84,0.1226,-0.0224,Long-Term Aggressive
GOOG,2025-11-21,230,39.12,165.32,198.38,1.73,6.38,183,45,20.0,269.07,31.98,0.1052,-0.0201,Long-Term Aggressive
U,2025-11-21,29,30.45,22.23,26.68,2.12,3.43,183,45,20.0,61.61,63.38,0.3763,-0.011,Long-Term Aggressive
U,2025-11-21,30,34.95,22.23,26.68,1.94,3.11,183,45,20.0,60.5,63.75,0.35,-0.0108,Long-Term Aggressive
